id,device,timestamp,sensor_type,value,lat,lon,is_deleted
47360,33,2025-07-03 18:37:47,CO2 ,-2.0,31.76494,117.2648,0
47359,33,2025-07-03 18:37:47,CH4,0.0,31.76494,117.2648,0
47358,33,2025-07-03 18:37:46,CO2 ,350.0,31.76494,117.2648,0
47357,33,2025-07-03 18:37:46,CH4,0.0,31.76494,117.2648,0
47356,33,2025-07-03 18:37:45,CO2 ,350.0,31.76494,117.2648,0
47355,33,2025-07-03 18:37:45,CH4,0.0,31.76494,117.2648,0
47354,33,2025-07-03 18:37:44,CO2 ,350.0,31.76494,117.2648,0
47353,33,2025-07-03 18:37:44,CH4,0.0,31.76494,117.2648,0
47352,33,2025-07-03 18:37:42,CO2 ,350.0,31.76494,117.2648,0
47351,33,2025-07-03 18:37:42,CH4,0.0,31.76494,117.2648,0
47350,33,2025-07-03 18:37:41,CO2 ,350.0,31.76494,117.2648,0
47349,33,2025-07-03 18:37:41,CH4,0.0,31.76494,117.2648,0
47348,33,2025-07-03 18:37:40,CO2 ,350.0,31.76494,117.2648,0
47347,33,2025-07-03 18:37:40,CH4,0.0,31.76494,117.2648,0
47346,33,2025-07-03 18:37:39,CO2 ,350.0,31.76494,117.2648,0
47345,33,2025-07-03 18:37:39,CH4,0.0,31.76494,117.2648,0
47344,33,2025-07-03 18:37:37,CO2 ,350.0,31.76494,117.2648,0
47343,33,2025-07-03 18:37:37,CH4,0.0,31.76494,117.2648,0
47342,33,2025-07-03 18:37:36,CO2 ,355.0,31.76494,117.2648,0
47341,33,2025-07-03 18:37:36,CH4,0.0,31.76494,117.2648,0
47340,33,2025-07-03 18:37:35,CO2 ,358.0,31.76494,117.2648,0
47339,33,2025-07-03 18:37:35,CH4,0.0,31.76494,117.2648,0
47338,33,2025-07-03 18:37:34,CO2 ,359.0,31.76494,117.2648,0
47337,33,2025-07-03 18:37:34,CH4,0.0,31.76494,117.2648,0
47336,33,2025-07-03 18:37:32,CO2 ,359.0,31.76494,117.2648,0
47335,33,2025-07-03 18:37:32,CH4,0.0,31.76494,117.2648,0
47334,33,2025-07-03 18:37:31,CO2 ,-2.0,31.76494,117.2648,0
47333,33,2025-07-03 18:37:31,CH4,0.0,31.76494,117.2648,0
47332,33,2025-07-03 18:37:30,CO2 ,359.0,31.76494,117.2648,0
47331,33,2025-07-03 18:37:30,CH4,0.0,31.76494,117.2648,0
47330,33,2025-07-03 18:37:29,CO2 ,359.0,31.76494,117.2648,0
47329,33,2025-07-03 18:37:29,CH4,0.0,31.76494,117.2648,0
47328,33,2025-07-03 18:37:27,CO2 ,357.0,31.76494,117.2648,0
47327,33,2025-07-03 18:37:27,CH4,0.0,31.76494,117.2648,0
47326,33,2025-07-03 18:37:26,CO2 ,357.0,31.76494,117.2648,0
47325,33,2025-07-03 18:37:26,CH4,0.0,31.76494,117.2648,0
47324,33,2025-07-03 18:37:25,CO2 ,358.0,31.76494,117.2648,0
47323,33,2025-07-03 18:37:25,CH4,0.0,31.76494,117.2648,0
47322,33,2025-07-03 18:37:24,CO2 ,358.0,31.76494,117.2648,0
47321,33,2025-07-03 18:37:24,CH4,0.0,31.76494,117.2648,0
47320,33,2025-07-03 18:37:22,CO2 ,358.0,31.76494,117.2648,0
47319,33,2025-07-03 18:37:22,CH4,0.0,31.76494,117.2648,0
47318,33,2025-07-03 18:37:21,CO2 ,357.0,31.76494,117.2648,0
47317,33,2025-07-03 18:37:21,CH4,0.0,31.76494,117.2648,0
47316,33,2025-07-03 18:37:20,CO2 ,358.0,31.76494,117.2648,0
47315,33,2025-07-03 18:37:20,CH4,0.0,31.76494,117.2648,0
47314,33,2025-07-03 18:37:19,CO2 ,359.0,31.76494,117.2648,0
47313,33,2025-07-03 18:37:19,CH4,0.0,31.76494,117.2648,0
47312,33,2025-07-03 18:37:17,CO2 ,358.0,31.76494,117.2648,0
47311,33,2025-07-03 18:37:17,CH4,0.0,31.76494,117.2648,0
47310,33,2025-07-03 18:37:16,CO2 ,357.0,31.76494,117.2648,0
47309,33,2025-07-03 18:37:16,CH4,0.0,31.76494,117.2648,0
47308,33,2025-07-03 18:37:15,CO2 ,-2.0,31.76494,117.2648,0
47307,33,2025-07-03 18:37:15,CH4,0.0,31.76494,117.2648,0
