id,device,timestamp,sensor_type,value,lat,lon,is_deleted
44748,30,2025-07-03 18:18:42,CO2 ,350.0,0.0,0.0,0
44747,30,2025-07-03 18:18:42,CH4,0.0,0.0,0.0,0
44738,30,2025-07-03 18:18:41,CO2 ,350.0,0.0,0.0,0
44737,30,2025-07-03 18:18:41,CH4,0.0,0.0,0.0,0
44732,30,2025-07-03 18:18:39,CO2 ,350.0,0.0,0.0,0
44731,30,2025-07-03 18:18:39,CH4,0.0,0.0,0.0,0
44718,30,2025-07-03 18:18:35,CO2 ,350.0,0.0,0.0,0
44717,30,2025-07-03 18:18:35,CH4,0.0,0.0,0.0,0
44712,30,2025-07-03 18:18:34,CO2 ,350.0,0.0,0.0,0
44711,30,2025-07-03 18:18:34,CH4,0.0,0.0,0.0,0
44706,30,2025-07-03 18:18:33,CO2 ,350.0,0.0,0.0,0
44705,30,2025-07-03 18:18:33,CH4,0.0,0.0,0.0,0
44704,30,2025-07-03 18:18:32,CO2 ,350.0,0.0,0.0,0
44703,30,2025-07-03 18:18:32,CH4,0.0,0.0,0.0,0
44698,30,2025-07-03 18:18:30,CO2 ,350.0,0.0,0.0,0
44697,30,2025-07-03 18:18:30,CH4,0.0,0.0,0.0,0
44694,30,2025-07-03 18:18:29,CO2 ,350.0,0.0,0.0,0
44693,30,2025-07-03 18:18:29,CH4,0.0,0.0,0.0,0
44686,30,2025-07-03 18:18:28,CO2 ,350.0,0.0,0.0,0
44685,30,2025-07-03 18:18:28,CH4,0.0,0.0,0.0,0
44678,30,2025-07-03 18:18:27,CO2 ,352.0,0.0,0.0,0
44677,30,2025-07-03 18:18:27,CH4,0.0,0.0,0.0,0
44672,30,2025-07-03 18:18:26,CO2 ,352.0,0.0,0.0,0
44671,30,2025-07-03 18:18:26,CH4,0.0,0.0,0.0,0
44668,30,2025-07-03 18:18:24,CO2 ,-2.0,0.0,0.0,0
44667,30,2025-07-03 18:18:24,CH4,0.0,0.0,0.0,0
44662,30,2025-07-03 18:18:23,CO2 ,350.0,0.0,0.0,0
44661,30,2025-07-03 18:18:23,CH4,0.0,0.0,0.0,0
44656,30,2025-07-03 18:18:22,CO2 ,350.0,0.0,0.0,0
44655,30,2025-07-03 18:18:22,CH4,0.0,0.0,0.0,0
44648,30,2025-07-03 18:18:21,CO2 ,350.0,0.0,0.0,0
44647,30,2025-07-03 18:18:21,CH4,0.0,0.0,0.0,0
44630,30,2025-07-03 18:18:16,CO2 ,350.0,0.0,0.0,0
44629,30,2025-07-03 18:18:16,CH4,0.0,0.0,0.0,0
44622,30,2025-07-03 18:18:15,CO2 ,350.0,0.0,0.0,0
44621,30,2025-07-03 18:18:15,CH4,0.0,0.0,0.0,0
